timestamp_utc,region,load_mw
2025-01-01T00:00:00Z,CAISO,23200
2025-01-01T01:00:00Z,CAISO,22700
2025-01-01T02:00:00Z,CAISO,22400
2025-01-01T03:00:00Z,CAISO,22100
2025-01-01T04:00:00Z,CAISO,22000
2025-01-01T05:00:00Z,CAISO,22300
2025-01-01T06:00:00Z,CAISO,23500
2025-01-01T07:00:00Z,CAISO,24800
2025-01-01T08:00:00Z,CAISO,25600
2025-01-01T09:00:00Z,CAISO,25900
2025-01-01T10:00:00Z,CAISO,25400
2025-01-01T11:00:00Z,CAISO,24800
2025-01-01T12:00:00Z,CAISO,24200
2025-01-01T13:00:00Z,CAISO,24100
2025-01-01T14:00:00Z,CAISO,24600
2025-01-01T15:00:00Z,CAISO,25800
2025-01-01T16:00:00Z,CAISO,27500
2025-01-01T17:00:00Z,CAISO,29800
2025-01-01T18:00:00Z,CAISO,31200
2025-01-01T19:00:00Z,CAISO,31800
2025-01-01T20:00:00Z,CAISO,30500
2025-01-01T21:00:00Z,CAISO,28400
2025-01-01T22:00:00Z,CAISO,26200
2025-01-01T23:00:00Z,CAISO,24500
2025-01-02T00:00:00Z,CAISO,23100
2025-01-02T01:00:00Z,CAISO,22600
2025-01-02T02:00:00Z,CAISO,22300
2025-01-02T03:00:00Z,CAISO,22000
2025-01-02T04:00:00Z,CAISO,22000
2025-01-02T05:00:00Z,CAISO,22200
2025-01-02T06:00:00Z,CAISO,23400
2025-01-02T07:00:00Z,CAISO,24700
2025-01-02T08:00:00Z,CAISO,25500
2025-01-02T09:00:00Z,CAISO,25800
2025-01-02T10:00:00Z,CAISO,25300
2025-01-02T11:00:00Z,CAISO,24700
2025-01-02T12:00:00Z,CAISO,24100
2025-01-02T13:00:00Z,CAISO,24000
2025-01-02T14:00:00Z,CAISO,24500
2025-01-02T15:00:00Z,CAISO,25700
2025-01-02T16:00:00Z,CAISO,27400
2025-01-02T17:00:00Z,CAISO,29700
2025-01-02T18:00:00Z,CAISO,31100
2025-01-02T19:00:00Z,CAISO,31700
2025-01-02T20:00:00Z,CAISO,30400
2025-01-02T21:00:00Z,CAISO,28300
2025-01-02T22:00:00Z,CAISO,26100
2025-01-02T23:00:00Z,CAISO,24400
2025-01-03T00:00:00Z,CAISO,23300
2025-01-03T01:00:00Z,CAISO,22800
2025-01-03T02:00:00Z,CAISO,22500
2025-01-03T03:00:00Z,CAISO,22200
2025-01-03T04:00:00Z,CAISO,22000
2025-01-03T05:00:00Z,CAISO,22400
2025-01-03T06:00:00Z,CAISO,23600
2025-01-03T07:00:00Z,CAISO,24900
2025-01-03T08:00:00Z,CAISO,25700
2025-01-03T09:00:00Z,CAISO,26000
2025-01-03T10:00:00Z,CAISO,25500
2025-01-03T11:00:00Z,CAISO,24900
2025-01-03T12:00:00Z,CAISO,24300
2025-01-03T13:00:00Z,CAISO,24200
2025-01-03T14:00:00Z,CAISO,24700
2025-01-03T15:00:00Z,CAISO,25900
2025-01-03T16:00:00Z,CAISO,27600
2025-01-03T17:00:00Z,CAISO,29900
2025-01-03T18:00:00Z,CAISO,31300
2025-01-03T19:00:00Z,CAISO,31900
2025-01-03T20:00:00Z,CAISO,30600
2025-01-03T21:00:00Z,CAISO,28500
2025-01-03T22:00:00Z,CAISO,26300
2025-01-03T23:00:00Z,CAISO,24600
