timestamp_utc,region,load_mw
2025-01-01T00:00:00Z,MISO,59200
2025-01-01T01:00:00Z,MISO,57400
2025-01-01T02:00:00Z,MISO,55800
2025-01-01T03:00:00Z,MISO,55000
2025-01-01T04:00:00Z,MISO,55200
2025-01-01T05:00:00Z,MISO,57000
2025-01-01T06:00:00Z,MISO,62500
2025-01-01T07:00:00Z,MISO,68400
2025-01-01T08:00:00Z,MISO,73600
2025-01-01T09:00:00Z,MISO,76800
2025-01-01T10:00:00Z,MISO,78500
2025-01-01T11:00:00Z,MISO,79200
2025-01-01T12:00:00Z,MISO,79800
2025-01-01T13:00:00Z,MISO,79400
2025-01-01T14:00:00Z,MISO,78600
2025-01-01T15:00:00Z,MISO,77800
2025-01-01T16:00:00Z,MISO,77200
2025-01-01T17:00:00Z,MISO,78500
2025-01-01T18:00:00Z,MISO,79600
2025-01-01T19:00:00Z,MISO,78200
2025-01-01T20:00:00Z,MISO,74800
2025-01-01T21:00:00Z,MISO,70600
2025-01-01T22:00:00Z,MISO,66200
2025-01-01T23:00:00Z,MISO,62400
2025-01-02T00:00:00Z,MISO,59000
2025-01-02T01:00:00Z,MISO,57200
2025-01-02T02:00:00Z,MISO,55600
2025-01-02T03:00:00Z,MISO,55000
2025-01-02T04:00:00Z,MISO,55000
2025-01-02T05:00:00Z,MISO,56800
2025-01-02T06:00:00Z,MISO,62300
2025-01-02T07:00:00Z,MISO,68100
2025-01-02T08:00:00Z,MISO,73300
2025-01-02T09:00:00Z,MISO,76500
2025-01-02T10:00:00Z,MISO,78200
2025-01-02T11:00:00Z,MISO,78900
2025-01-02T12:00:00Z,MISO,79500
2025-01-02T13:00:00Z,MISO,79100
2025-01-02T14:00:00Z,MISO,78300
2025-01-02T15:00:00Z,MISO,77500
2025-01-02T16:00:00Z,MISO,76900
2025-01-02T17:00:00Z,MISO,78200
2025-01-02T18:00:00Z,MISO,79300
2025-01-02T19:00:00Z,MISO,77900
2025-01-02T20:00:00Z,MISO,74500
2025-01-02T21:00:00Z,MISO,70300
2025-01-02T22:00:00Z,MISO,65900
2025-01-02T23:00:00Z,MISO,62100
2025-01-03T00:00:00Z,MISO,59400
2025-01-03T01:00:00Z,MISO,57600
2025-01-03T02:00:00Z,MISO,56000
2025-01-03T03:00:00Z,MISO,55000
2025-01-03T04:00:00Z,MISO,55400
2025-01-03T05:00:00Z,MISO,57200
2025-01-03T06:00:00Z,MISO,62700
2025-01-03T07:00:00Z,MISO,68700
2025-01-03T08:00:00Z,MISO,73900
2025-01-03T09:00:00Z,MISO,77100
2025-01-03T10:00:00Z,MISO,78800
2025-01-03T11:00:00Z,MISO,79500
2025-01-03T12:00:00Z,MISO,80100
2025-01-03T13:00:00Z,MISO,79700
2025-01-03T14:00:00Z,MISO,78900
2025-01-03T15:00:00Z,MISO,78100
2025-01-03T16:00:00Z,MISO,77500
2025-01-03T17:00:00Z,MISO,78800
2025-01-03T18:00:00Z,MISO,79900
2025-01-03T19:00:00Z,MISO,78500
2025-01-03T20:00:00Z,MISO,75100
2025-01-03T21:00:00Z,MISO,70900
2025-01-03T22:00:00Z,MISO,66500
2025-01-03T23:00:00Z,MISO,62700
