timestamp_utc,region,hub,price_usd_mwh
2025-01-01T00:00:00Z,NYISO,NYC,48.60
2025-01-01T01:00:00Z,NYISO,NYC,45.20
2025-01-01T02:00:00Z,NYISO,NYC,43.00
2025-01-01T03:00:00Z,NYISO,NYC,41.80
2025-01-01T04:00:00Z,NYISO,NYC,40.40
2025-01-01T05:00:00Z,NYISO,NYC,41.60
2025-01-01T06:00:00Z,NYISO,NYC,48.80
2025-01-01T07:00:00Z,NYISO,NYC,58.40
2025-01-01T08:00:00Z,NYISO,NYC,66.20
2025-01-01T09:00:00Z,NYISO,NYC,72.80
2025-01-01T10:00:00Z,NYISO,NYC,76.40
2025-01-01T11:00:00Z,NYISO,NYC,79.20
2025-01-01T12:00:00Z,NYISO,NYC,81.00
2025-01-01T13:00:00Z,NYISO,NYC,79.60
2025-01-01T14:00:00Z,NYISO,NYC,77.40
2025-01-01T15:00:00Z,NYISO,NYC,75.20
2025-01-01T16:00:00Z,NYISO,NYC,74.00
2025-01-01T17:00:00Z,NYISO,NYC,77.80
2025-01-01T18:00:00Z,NYISO,NYC,83.60
2025-01-01T19:00:00Z,NYISO,NYC,80.40
2025-01-01T20:00:00Z,NYISO,NYC,70.20
2025-01-01T21:00:00Z,NYISO,NYC,60.80
2025-01-01T22:00:00Z,NYISO,NYC,54.40
2025-01-01T23:00:00Z,NYISO,NYC,50.60
2025-01-02T00:00:00Z,NYISO,NYC,47.80
2025-01-02T01:00:00Z,NYISO,NYC,44.40
2025-01-02T02:00:00Z,NYISO,NYC,42.20
2025-01-02T03:00:00Z,NYISO,NYC,41.00
2025-01-02T04:00:00Z,NYISO,NYC,40.00
2025-01-02T05:00:00Z,NYISO,NYC,41.20
2025-01-02T06:00:00Z,NYISO,NYC,48.40
2025-01-02T07:00:00Z,NYISO,NYC,58.00
2025-01-02T08:00:00Z,NYISO,NYC,65.80
2025-01-02T09:00:00Z,NYISO,NYC,72.40
2025-01-02T10:00:00Z,NYISO,NYC,76.00
2025-01-02T11:00:00Z,NYISO,NYC,78.80
2025-01-02T12:00:00Z,NYISO,NYC,80.60
2025-01-02T13:00:00Z,NYISO,NYC,79.20
2025-01-02T14:00:00Z,NYISO,NYC,77.00
2025-01-02T15:00:00Z,NYISO,NYC,74.80
2025-01-02T16:00:00Z,NYISO,NYC,73.60
2025-01-02T17:00:00Z,NYISO,NYC,77.40
2025-01-02T18:00:00Z,NYISO,NYC,83.20
2025-01-02T19:00:00Z,NYISO,NYC,80.00
2025-01-02T20:00:00Z,NYISO,NYC,69.80
2025-01-02T21:00:00Z,NYISO,NYC,60.40
2025-01-02T22:00:00Z,NYISO,NYC,54.00
2025-01-02T23:00:00Z,NYISO,NYC,50.20
2025-01-03T00:00:00Z,NYISO,NYC,49.40
2025-01-03T01:00:00Z,NYISO,NYC,46.00
2025-01-03T02:00:00Z,NYISO,NYC,43.80
2025-01-03T03:00:00Z,NYISO,NYC,42.60
2025-01-03T04:00:00Z,NYISO,NYC,40.80
2025-01-03T05:00:00Z,NYISO,NYC,42.00
2025-01-03T06:00:00Z,NYISO,NYC,49.20
2025-01-03T07:00:00Z,NYISO,NYC,58.80
2025-01-03T08:00:00Z,NYISO,NYC,66.60
2025-01-03T09:00:00Z,NYISO,NYC,73.20
2025-01-03T10:00:00Z,NYISO,NYC,76.80
2025-01-03T11:00:00Z,NYISO,NYC,79.60
2025-01-03T12:00:00Z,NYISO,NYC,81.40
2025-01-03T13:00:00Z,NYISO,NYC,80.00
2025-01-03T14:00:00Z,NYISO,NYC,77.80
2025-01-03T15:00:00Z,NYISO,NYC,75.60
2025-01-03T16:00:00Z,NYISO,NYC,74.40
2025-01-03T17:00:00Z,NYISO,NYC,78.20
2025-01-03T18:00:00Z,NYISO,NYC,84.00
2025-01-03T19:00:00Z,NYISO,NYC,80.80
2025-01-03T20:00:00Z,NYISO,NYC,70.60
2025-01-03T21:00:00Z,NYISO,NYC,61.20
2025-01-03T22:00:00Z,NYISO,NYC,54.80
2025-01-03T23:00:00Z,NYISO,NYC,51.00
