timestamp_utc,region,temperature_f
2025-01-01T00:00:00Z,NYISO,32.0
2025-01-01T01:00:00Z,NYISO,31.5
2025-01-01T02:00:00Z,NYISO,31.0
2025-01-01T03:00:00Z,NYISO,30.5
2025-01-01T04:00:00Z,NYISO,30.0
2025-01-01T05:00:00Z,NYISO,30.0
2025-01-01T06:00:00Z,NYISO,30.5
2025-01-01T07:00:00Z,NYISO,31.0
2025-01-01T08:00:00Z,NYISO,32.0
2025-01-01T09:00:00Z,NYISO,33.5
2025-01-01T10:00:00Z,NYISO,35.0
2025-01-01T11:00:00Z,NYISO,36.5
2025-01-01T12:00:00Z,NYISO,38.0
2025-01-01T13:00:00Z,NYISO,39.0
2025-01-01T14:00:00Z,NYISO,40.0
2025-01-01T15:00:00Z,NYISO,40.5
2025-01-01T16:00:00Z,NYISO,40.0
2025-01-01T17:00:00Z,NYISO,39.0
2025-01-01T18:00:00Z,NYISO,38.0
2025-01-01T19:00:00Z,NYISO,37.0
2025-01-01T20:00:00Z,NYISO,36.0
2025-01-01T21:00:00Z,NYISO,35.0
2025-01-01T22:00:00Z,NYISO,34.0
2025-01-01T23:00:00Z,NYISO,33.0
2025-01-02T00:00:00Z,NYISO,32.5
2025-01-02T01:00:00Z,NYISO,32.0
2025-01-02T02:00:00Z,NYISO,31.5
2025-01-02T03:00:00Z,NYISO,31.0
2025-01-02T04:00:00Z,NYISO,30.5
2025-01-02T05:00:00Z,NYISO,30.0
2025-01-02T06:00:00Z,NYISO,30.5
2025-01-02T07:00:00Z,NYISO,31.5
2025-01-02T08:00:00Z,NYISO,33.0
2025-01-02T09:00:00Z,NYISO,34.5
2025-01-02T10:00:00Z,NYISO,36.0
2025-01-02T11:00:00Z,NYISO,37.5
2025-01-02T12:00:00Z,NYISO,39.0
2025-01-02T13:00:00Z,NYISO,40.0
2025-01-02T14:00:00Z,NYISO,41.0
2025-01-02T15:00:00Z,NYISO,41.5
2025-01-02T16:00:00Z,NYISO,41.0
2025-01-02T17:00:00Z,NYISO,40.0
2025-01-02T18:00:00Z,NYISO,39.0
2025-01-02T19:00:00Z,NYISO,38.0
2025-01-02T20:00:00Z,NYISO,37.0
2025-01-02T21:00:00Z,NYISO,36.0
2025-01-02T22:00:00Z,NYISO,35.0
2025-01-02T23:00:00Z,NYISO,34.0
2025-01-03T00:00:00Z,NYISO,33.0
2025-01-03T01:00:00Z,NYISO,32.5
2025-01-03T02:00:00Z,NYISO,32.0
2025-01-03T03:00:00Z,NYISO,31.5
2025-01-03T04:00:00Z,NYISO,31.0
2025-01-03T05:00:00Z,NYISO,30.5
2025-01-03T06:00:00Z,NYISO,31.0
2025-01-03T07:00:00Z,NYISO,32.0
2025-01-03T08:00:00Z,NYISO,33.5
2025-01-03T09:00:00Z,NYISO,35.0
2025-01-03T10:00:00Z,NYISO,36.5
2025-01-03T11:00:00Z,NYISO,38.0
2025-01-03T12:00:00Z,NYISO,39.5
2025-01-03T13:00:00Z,NYISO,41.0
2025-01-03T14:00:00Z,NYISO,42.0
2025-01-03T15:00:00Z,NYISO,42.0
2025-01-03T16:00:00Z,NYISO,41.5
2025-01-03T17:00:00Z,NYISO,40.5
2025-01-03T18:00:00Z,NYISO,39.5
2025-01-03T19:00:00Z,NYISO,38.5
2025-01-03T20:00:00Z,NYISO,37.5
2025-01-03T21:00:00Z,NYISO,36.5
2025-01-03T22:00:00Z,NYISO,35.5
2025-01-03T23:00:00Z,NYISO,34.5
