timestamp_utc,region,load_mw
2025-01-01T00:00:00Z,PJM,63500
2025-01-01T01:00:00Z,PJM,61800
2025-01-01T02:00:00Z,PJM,60500
2025-01-01T03:00:00Z,PJM,60000
2025-01-01T04:00:00Z,PJM,60200
2025-01-01T05:00:00Z,PJM,61500
2025-01-01T06:00:00Z,PJM,65200
2025-01-01T07:00:00Z,PJM,70400
2025-01-01T08:00:00Z,PJM,75800
2025-01-01T09:00:00Z,PJM,79200
2025-01-01T10:00:00Z,PJM,81500
2025-01-01T11:00:00Z,PJM,82800
2025-01-01T12:00:00Z,PJM,83600
2025-01-01T13:00:00Z,PJM,83200
2025-01-01T14:00:00Z,PJM,82400
2025-01-01T15:00:00Z,PJM,81600
2025-01-01T16:00:00Z,PJM,80900
2025-01-01T17:00:00Z,PJM,81800
2025-01-01T18:00:00Z,PJM,82500
2025-01-01T19:00:00Z,PJM,81200
2025-01-01T20:00:00Z,PJM,78400
2025-01-01T21:00:00Z,PJM,74200
2025-01-01T22:00:00Z,PJM,70100
2025-01-01T23:00:00Z,PJM,66300
2025-01-02T00:00:00Z,PJM,63200
2025-01-02T01:00:00Z,PJM,61500
2025-01-02T02:00:00Z,PJM,60200
2025-01-02T03:00:00Z,PJM,60000
2025-01-02T04:00:00Z,PJM,60000
2025-01-02T05:00:00Z,PJM,61200
2025-01-02T06:00:00Z,PJM,64900
2025-01-02T07:00:00Z,PJM,70100
2025-01-02T08:00:00Z,PJM,75500
2025-01-02T09:00:00Z,PJM,78900
2025-01-02T10:00:00Z,PJM,81200
2025-01-02T11:00:00Z,PJM,82500
2025-01-02T12:00:00Z,PJM,83300
2025-01-02T13:00:00Z,PJM,82900
2025-01-02T14:00:00Z,PJM,82100
2025-01-02T15:00:00Z,PJM,81300
2025-01-02T16:00:00Z,PJM,80600
2025-01-02T17:00:00Z,PJM,81500
2025-01-02T18:00:00Z,PJM,82200
2025-01-02T19:00:00Z,PJM,80900
2025-01-02T20:00:00Z,PJM,78100
2025-01-02T21:00:00Z,PJM,73900
2025-01-02T22:00:00Z,PJM,69800
2025-01-02T23:00:00Z,PJM,66000
2025-01-03T00:00:00Z,PJM,63800
2025-01-03T01:00:00Z,PJM,62100
2025-01-03T02:00:00Z,PJM,60800
2025-01-03T03:00:00Z,PJM,60000
2025-01-03T04:00:00Z,PJM,60400
2025-01-03T05:00:00Z,PJM,61800
2025-01-03T06:00:00Z,PJM,65500
2025-01-03T07:00:00Z,PJM,70700
2025-01-03T08:00:00Z,PJM,76100
2025-01-03T09:00:00Z,PJM,79500
2025-01-03T10:00:00Z,PJM,81800
2025-01-03T11:00:00Z,PJM,83100
2025-01-03T12:00:00Z,PJM,83900
2025-01-03T13:00:00Z,PJM,83500
2025-01-03T14:00:00Z,PJM,82700
2025-01-03T15:00:00Z,PJM,81900
2025-01-03T16:00:00Z,PJM,81200
2025-01-03T17:00:00Z,PJM,82100
2025-01-03T18:00:00Z,PJM,82800
2025-01-03T19:00:00Z,PJM,81500
2025-01-03T20:00:00Z,PJM,78700
2025-01-03T21:00:00Z,PJM,74500
2025-01-03T22:00:00Z,PJM,70400
2025-01-03T23:00:00Z,PJM,66600
