timestamp_utc,region,load_mw
2025-01-01T00:00:00Z,SPP,30400
2025-01-01T01:00:00Z,SPP,29200
2025-01-01T02:00:00Z,SPP,28500
2025-01-01T03:00:00Z,SPP,28000
2025-01-01T04:00:00Z,SPP,28100
2025-01-01T05:00:00Z,SPP,28800
2025-01-01T06:00:00Z,SPP,31200
2025-01-01T07:00:00Z,SPP,34500
2025-01-01T08:00:00Z,SPP,37800
2025-01-01T09:00:00Z,SPP,40200
2025-01-01T10:00:00Z,SPP,41600
2025-01-01T11:00:00Z,SPP,42400
2025-01-01T12:00:00Z,SPP,43000
2025-01-01T13:00:00Z,SPP,42800
2025-01-01T14:00:00Z,SPP,42200
2025-01-01T15:00:00Z,SPP,41500
2025-01-01T16:00:00Z,SPP,40800
2025-01-01T17:00:00Z,SPP,41600
2025-01-01T18:00:00Z,SPP,42500
2025-01-01T19:00:00Z,SPP,41200
2025-01-01T20:00:00Z,SPP,38800
2025-01-01T21:00:00Z,SPP,36200
2025-01-01T22:00:00Z,SPP,33600
2025-01-01T23:00:00Z,SPP,31600
2025-01-02T00:00:00Z,SPP,30200
2025-01-02T01:00:00Z,SPP,29000
2025-01-02T02:00:00Z,SPP,28300
2025-01-02T03:00:00Z,SPP,28000
2025-01-02T04:00:00Z,SPP,28000
2025-01-02T05:00:00Z,SPP,28600
2025-01-02T06:00:00Z,SPP,31000
2025-01-02T07:00:00Z,SPP,34300
2025-01-02T08:00:00Z,SPP,37600
2025-01-02T09:00:00Z,SPP,40000
2025-01-02T10:00:00Z,SPP,41400
2025-01-02T11:00:00Z,SPP,42200
2025-01-02T12:00:00Z,SPP,42800
2025-01-02T13:00:00Z,SPP,42600
2025-01-02T14:00:00Z,SPP,42000
2025-01-02T15:00:00Z,SPP,41300
2025-01-02T16:00:00Z,SPP,40600
2025-01-02T17:00:00Z,SPP,41400
2025-01-02T18:00:00Z,SPP,42300
2025-01-02T19:00:00Z,SPP,41000
2025-01-02T20:00:00Z,SPP,38600
2025-01-02T21:00:00Z,SPP,36000
2025-01-02T22:00:00Z,SPP,33400
2025-01-02T23:00:00Z,SPP,31400
2025-01-03T00:00:00Z,SPP,30600
2025-01-03T01:00:00Z,SPP,29400
2025-01-03T02:00:00Z,SPP,28700
2025-01-03T03:00:00Z,SPP,28000
2025-01-03T04:00:00Z,SPP,28200
2025-01-03T05:00:00Z,SPP,29000
2025-01-03T06:00:00Z,SPP,31400
2025-01-03T07:00:00Z,SPP,34700
2025-01-03T08:00:00Z,SPP,38000
2025-01-03T09:00:00Z,SPP,40400
2025-01-03T10:00:00Z,SPP,41800
2025-01-03T11:00:00Z,SPP,42600
2025-01-03T12:00:00Z,SPP,43200
2025-01-03T13:00:00Z,SPP,43000
2025-01-03T14:00:00Z,SPP,42400
2025-01-03T15:00:00Z,SPP,41700
2025-01-03T16:00:00Z,SPP,41000
2025-01-03T17:00:00Z,SPP,41800
2025-01-03T18:00:00Z,SPP,42700
2025-01-03T19:00:00Z,SPP,41400
2025-01-03T20:00:00Z,SPP,39000
2025-01-03T21:00:00Z,SPP,36400
2025-01-03T22:00:00Z,SPP,33800
2025-01-03T23:00:00Z,SPP,31800
